ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
2407	Penange	NECK	pàrò	p a ¹ r o ¹	4935	p a ¹ r o ¹	1 7 8 5 7 8	AXTBYT	PA6RU6	13	13.P.C 13.A.V 13.6.T 13.R.C 13.U.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2408	Bangime	NECK	kwāà	k w aː ³¹	146	k w aː ³¹	1 6 7 8	ACXT	KWA3	1	1.K.C 1.W.C 1.A.V 1.3.T	1.6 1.2 3.0 1.0	0
2409	Jamsay	NECK	kɔ̀rɔ́	k ɔ ¹ r ɔ ⁵	2203	( - - - - - - - ) k ɔ ¹ r ɔ ⁵ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6RU6	9	9.K.C 9.U.V 9.6.T 9.R.C 9.U.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2410	Nanga	NECK	kɔ̀rɔ́	k ɔ ¹ r ɔ ⁵	2203	( - - - - - - - ) k ɔ ¹ r ɔ ⁵ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6RU6	12	12.K.C 12.U.V 12.6.T 12.R.C 12.U.V 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2411	Perge_Tegu	NECK	kɔ̀rɔ́	k ɔ ¹ r ɔ ⁵	2203	( - - - - - - - ) k ɔ ¹ r ɔ ⁵ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6RU6	14	14.K.C 14.U.V 14.6.T 14.R.C 14.U.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2412	Tiranige_Diga	NECK	mɔ́:	m ɔː	4942	m ɔː ⁵ ( - )	4 7	AX	MU	17	17.M.C 17.U.V	2.0 1.5	1
2413	Togo_Kan	NECK	kɔ̀rɔ́	k ɔ ¹ r ɔ ⁵	2203	( - - - - - - - ) k ɔ ¹ r ɔ ⁵ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6RU6	18	18.K.C 18.U.V 18.6.T 18.R.C 18.U.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2414	Tomo_Kan	NECK	kɔ̀lɔ̀	k ɔ ¹ l ɔ ¹	2203	( - - - - - - - ) k ɔ ¹ l ɔ ¹ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6LU6	20	20.K.C 20.U.V 20.6.T 20.L.C 20.U.V 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2415	Toro_Tegu	NECK	kɔ̀rɔ́	k ɔ ¹ r ɔ ⁵	2203	( - - - - - - - ) k ɔ ¹ r ɔ ⁵ ( - - - - - )	1 7 8 5 7 8	AXTBYT	KU6RU6	21	21.K.C 21.U.V 21.6.T 21.R.C 21.U.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2416	Toro_Tegu	NEW	kàlá	k a ¹ l a ⁵	2219	k a ¹ l a ⁵	1 7 8 5 7 8	AXTBYT	KA6LA6	21	21.K.C 21.A.V 21.6.T 21.L.C 21.A.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2417	Ben_Tey	NEW	kálà	k a ⁵ l a ¹	2219	k a ⁵ l a ¹	1 7 8 5 7 8	AXTBYT	KA6LA6	3	3.K.C 3.A.V 3.6.T 3.L.C 3.A.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2418	Bankan_Tey	NEW	kándà	k a ⁵ n d a ¹	2219	k a ⁵ n d a ¹	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	2	2.K.C 2.A.V 2.6.T 2.N.c 2.T.C 2.A.V 2.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2419	Gourou	NEW	kàná	k a ¹ n a ⁵	2219	k a ¹ n a ⁵	1 7 8 4 7 8	AXTBYT	KA6NA6	7	7.K.C 7.A.V 7.6.T 7.N.C 7.A.V 7.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2420	Tommo_So	NEW	kàndá	k a ¹ n d a ⁵	2219	k a ¹ n d a ⁵	1 7 8 4 1 7 8	AXTMBYT	KA6NTA6	19	19.K.C 19.A.V 19.6.T 19.N.c 19.T.C 19.A.V 19.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
