ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
1235	Najamba	FEAR (FRIGHT)	ìbìnà-ŋgó	i ¹ b i ¹ n a ¹ + ŋ ɡ o ⁵	2420	- i ¹ b i ¹ n a ¹ ( + ŋ ɡ o ⁵ )	7 8 1 7 8 4 7 8 9 4 1 7 8	XTBYTBYT_ACYT	I6PI6NA6_NKU6	11	11.I.V 11.6.T 11.P.C 11.I.V 11.6.T 11.N.C 11.A.V 11.6.T 11._._ 11.N.C 11.K.C 11.U.V 11.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0
1236	Bunoge	FEAR (FRIGHT)	dìwɔ̀	d i ¹ w ɔ ¹	2420	d i ¹ w ɔ ¹	1 7 8 6 7 8	AXTBYT	TI6WU6	4	4.T.C 4.I.V 4.6.T 4.W.C 4.U.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1237	Donno_So	FEAR (FRIGHT)	níɲɲ-ɛ̀:dù	n i ⁵ ɲ ɲ + ɛː ¹ d u ¹	2422	n i ⁵ ɲ + ɲ ɛː ¹ ( d u ¹ )	4 7 8 4 4 9 7 8 1 7 8	AXTLN_XTBYT	NI6NN_E6TY6	6	6.N.C 6.I.V 6.6.T 6.N.c 6.N.c 6._._ 6.E.V 6.6.T 6.T.C 6.Y.V 6.6.T	1.6 3.0 1.0 1.1 0.5 0.0 3.0 1.0 1.3 3.0 1.0	0
1238	Mombo	FEAR (FRIGHT)	níwɔ́	n i ⁵ w ɔ ⁵	2420	n i ⁵ w ɔ ⁵	4 7 8 6 7 8	AXTBYT	NI6WU6	10	10.N.C 10.I.V 10.6.T 10.W.C 10.U.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1239	Penange	FEAR (FRIGHT)	ní:gɔ́	n iː ⁵ ɡ ɔ ⁵	2420	n iː ⁵ ɡ ɔ ⁵	4 7 8 1 7 8	AXTBYT	NI6KU6	13	13.N.C 13.I.V 13.6.T 13.K.C 13.U.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1240	Jamsay	FEAR (FRIGHT)	lì-lɛ̌:	l i ¹ + l ɛː ¹⁵	1130	l i ¹ ( + ) l ɛː ¹⁵	5 7 8 9 5 7 8	AXT_AXT	LI6_LE2	9	9.L.C 9.I.V 9.6.T 9._._ 9.L.C 9.E.V 9.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0
1241	Tiranige_Diga	FEAR (FRIGHT)	yó:ní-yó	j oː ⁵ n i ⁵ + j o ⁵	2433	j oː ⁵ n i ⁵ + j o ⁵	6 7 8 4 7 8 9 6 7 8	AXTBYT_AXT	JU6NI6_JU6	17	17.J.C 17.U.V 17.6.T 17.N.C 17.I.V 17.6.T 17._._ 17.J.C 17.U.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	1
1242	Bangime	FIND	kārà	k a ³ r a ¹	2462	k a ³ r a ¹	1 7 8 5 7 8	AXTBYT	KA6RA6	1	1.K.C 1.A.V 1.6.T 1.R.C 1.A.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1243	Toro_Tegu	FIND	dìrⁿú	d i ¹ r̃ ∼ u ⁵	2481	d i ¹ r̃ ∼ u ⁵	1 7 8 5 4 7 8	AXTMBYT	TI6R9Y6	21	21.T.C 21.I.V 21.6.T 21.R.c 21.9.C 21.Y.V 21.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1244	Ben_Tey	FIND	tɛ́mbú	t ɛ ⁵ m b u ⁵	2460	t ɛ ⁵ m b u ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPY6	3	3.T.C 3.E.V 3.6.T 3.M.c 3.P.C 3.Y.V 3.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1245	Bankan_Tey	FIND	tɛ́mbí	t ɛ ⁵ m b i ⁵	2460	t ɛ ⁵ m b i ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPI6	2	2.T.C 2.E.V 2.6.T 2.M.c 2.P.C 2.I.V 2.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1246	Perge_Tegu	FIND	tɛ́mbɛ́	t ɛ ⁵ m b ɛ ⁵	2460	t ɛ ⁵ m b ɛ ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPE6	14	14.T.C 14.E.V 14.6.T 14.M.c 14.P.C 14.E.V 14.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1247	Jamsay	FIND	tɛ́mɛ́	t ɛ ⁵ m ɛ ⁵	2460	t ɛ ⁵ m ?- ɛ ⁵	1 7 8 4 7 8	AXTBYT	TE6ME6	9	9.T.C 9.E.V 9.6.T 9.M.C 9.E.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1248	Yorno_So	FIND	tɛ́mɛ́	t ɛ ⁵ m ɛ ⁵	2460	t ɛ ⁵ m ?- ɛ ⁵	1 7 8 4 7 8	AXTBYT	TE6ME6	23	23.T.C 23.E.V 23.6.T 23.M.C 23.E.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1249	Dogul_Dom	FIND	tɛ́mbɛ̀	t ɛ ⁵ m b ɛ ¹	2460	t ɛ ⁵ m b ɛ ¹	1 7 8 4 1 7 8	AXTMBYT	TE6MPE6	5	5.T.C 5.E.V 5.6.T 5.M.c 5.P.C 5.E.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1250	Tebul_Ure	FIND	tɛ́mbí	t ɛ ⁵ m b i ⁵	2460	t ɛ ⁵ m b i ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPI6	16	16.T.C 16.E.V 16.6.T 16.M.c 16.P.C 16.I.V 16.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1251	Najamba	FIND	dìnɛ̂:	d i ¹ n ɛː ⁵¹	2481	d i ¹ n ɛː ⁵¹	1 7 8 4 7 8	AXTBYT	TI6NE3	11	11.T.C 11.I.V 11.6.T 11.N.C 11.E.V 11.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1252	Bunoge	FIND	bélóŋgè	b e ⁵ l o ⁵ ŋ ɡ e ¹	2471	b e ⁵ l o ⁵ ( + ŋ ɡ e ¹ )	1 7 8 5 7 8 4 1 7 8	AXTBYTMBYT	PE6LU6NKE6	4	4.P.C 4.E.V 4.6.T 4.L.C 4.U.V 4.6.T 4.N.c 4.K.C 4.E.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0	0
1253	Tiranige_Diga	FIND	yú:ndó	j uː ⁵ n d o ⁵	2481	j uː ⁵ n d o ⁵	6 7 8 4 1 7 8	AXTMBYT	JY6NTU6	17	17.J.C 17.Y.V 17.6.T 17.N.c 17.T.C 17.U.V 17.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1254	Penange	FIND	témbé	t e ⁵ m b e ⁵	2460	t e ⁵ m b e ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPE6	13	13.T.C 13.E.V 13.6.T 13.M.c 13.P.C 13.E.V 13.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1255	Mombo	FIND	tɛ́mbɛ́	t ɛ ⁵ m b ɛ ⁵	2460	t ɛ ⁵ m b ɛ ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPE6	10	10.T.C 10.E.V 10.6.T 10.M.c 10.P.C 10.E.V 10.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1256	Nanga	FIND	tɛ́mbí	t ɛ ⁵ m b i ⁵	2460	t ɛ ⁵ m b i ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPI6	12	12.T.C 12.E.V 12.6.T 12.M.c 12.P.C 12.I.V 12.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1257	Togo_Kan	FIND	tɛ́mɛ́	t ɛ ⁵ m ɛ ⁵	2460	t ɛ ⁵ m ?- ɛ ⁵	1 7 8 4 7 8	AXTBYT	TE6ME6	18	18.T.C 18.E.V 18.6.T 18.M.C 18.E.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1258	Tommo_So	FIND	tɛ́mbɛ́	t ɛ ⁵ m b ɛ ⁵	2460	t ɛ ⁵ m b ɛ ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPE6	19	19.T.C 19.E.V 19.6.T 19.M.c 19.P.C 19.E.V 19.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1259	Yanda_Dom	FIND	tɛ́mbɛ́	t ɛ ⁵ m b ɛ ⁵	2460	t ɛ ⁵ m b ɛ ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6MPE6	22	22.T.C 22.E.V 22.6.T 22.M.c 22.P.C 22.E.V 22.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1260	Toro_Tegu	FINGER	lɔ̀-ìrⁿú	l ɔ ¹ + i ¹ r̃ ∼ u ⁵	1173	l ɔ ¹ ?- ?- ?+ i ¹ r̃ ∼ u ⁵ ( ?- )	5 7 8 9 7 8 5 4 7 8	AXT_XTMBYT	LU6_I6R9Y6	21	21.L.C 21.U.V 21.6.T 21._._ 21.I.V 21.6.T 21.R.c 21.9.C 21.Y.V 21.6.T	1.6 3.0 1.0 0.0 3.0 1.0 1.1 1.3 3.0 1.0	0
1261	Ben_Tey	FINGER	nà:-sî:ⁿ	n aː ¹ + s ĩː ∼ ⁵¹	1173	n aː ¹ + s ĩː ⁵¹ ∼	4 7 8 9 3 7 4 8	AXT_AXLT	NA6_SI93	3	3.N.C 3.A.V 3.6.T 3._._ 3.S.C 3.I.V 3.9.c 3.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0
1262	Bankan_Tey	FINGER	nà:-sìrî:	n aː ¹ + s i ¹ r iː ⁵¹	1173	n aː ¹ + s i ¹ r iː ⁵¹	4 7 8 9 3 7 8 5 7 8	AXT_AXTBYT	NA6_SI6RI3	2	2.N.C 2.A.V 2.6.T 2._._ 2.S.C 2.I.V 2.6.T 2.R.C 2.I.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
1263	Nanga	FINGER	là-sìrî	l a ¹ + s i ¹ r i ⁵¹	1173	l a ¹ + s i ¹ r i ⁵¹	5 7 8 9 3 7 8 5 7 8	AXT_AXTBYT	LA6_SI6RI3	12	12.L.C 12.A.V 12.6.T 12._._ 12.S.C 12.I.V 12.6.T 12.R.C 12.I.V 12.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
1264	Perge_Tegu	FINGER	nùwⁿò-šî:ⁿ	n u ¹ w̃ ∼ o ¹ + ʃ ĩː ∼ ⁵¹	1173	n u ¹ ( w̃ ) ∼ o ¹ + ( ʃ ) ĩː ⁵¹ ∼	4 7 8 6 4 7 8 9 3 7 4 8	AXTMBYT_AXLT	NY6W9U6_SI93	14	14.N.C 14.Y.V 14.6.T 14.W.c 14.9.C 14.U.V 14.6.T 14._._ 14.S.C 14.I.V 14.9.c 14.3.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0
1265	Gourou	FINGER	nùmò-î:ⁿ	n u ¹ m o ¹ + ĩː ∼ ⁵¹	1173	n u ¹ ( - ) m o ¹ + ( - ) ĩː ⁵¹ ∼	4 7 8 4 7 8 9 7 4 8	AXTBYT_XLT	NY6MU6_I93	7	7.N.C 7.Y.V 7.6.T 7.M.C 7.U.V 7.6.T 7._._ 7.I.V 7.9.c 7.3.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 3.0 1.1 1.0	0
1266	Togo_Kan	FINGER	nùmɔ̀-í:ⁿ	n u ¹ m ɔ ¹ + ĩː ∼ ⁵	1173	n u ¹ ( - ) m ɔ ¹ + ( - ) ĩː ⁵ ∼	4 7 8 4 7 8 9 7 4 8	AXTBYT_XLT	NY6MU6_I96	18	18.N.C 18.Y.V 18.6.T 18.M.C 18.U.V 18.6.T 18._._ 18.I.V 18.9.c 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 3.0 1.1 1.0	0
1267	Yorno_So	FINGER	nɔ̀yⁿ-sǎy	n ɔ ¹ j ∼ + s a ¹⁵ j	1173	n ɔ ¹ ( j ) ∼ ?- ?- + s a ¹⁵ j ( - - )	4 7 8 6 4 9 3 7 8 6	AXTLN_AXTN	NU6J9_SA2J	23	23.N.C 23.U.V 23.6.T 23.J.c 23.9.c 23._._ 23.S.C 23.A.V 23.2.T 23.J.c	1.6 3.0 1.0 1.1 0.5 0.0 1.6 3.0 1.0 0.5	0
1268	Tommo_So	FINGER	nùmɔ̀-sǎy	n u ¹ m ɔ ¹ + s a ¹⁵ j	1173	n u ¹ ( - ) m ɔ ¹ + s a ¹⁵ j ( - - )	4 7 8 4 7 8 9 3 7 8 6	AXTBYT_AXTN	NY6MU6_SA2J	19	19.N.C 19.Y.V 19.6.T 19.M.C 19.U.V 19.6.T 19._._ 19.S.C 19.A.V 19.2.T 19.J.c	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	0
1269	Dogul_Dom	FINGER	nùmɔ̀-sâyg	n u ¹ m ɔ ¹ + s a ⁵¹ j ɡ	1173	n u ¹ ( - ) m ɔ ¹ + s a ⁵¹ j ( ɡ ?- )	4 7 8 4 7 8 9 3 7 8 6 1	AXTBYT_AXTLN	NY6MU6_SA3JK	5	5.N.C 5.Y.V 5.6.T 5.M.C 5.U.V 5.6.T 5._._ 5.S.C 5.A.V 5.3.T 5.J.c 5.K.c	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 0.5	0
1270	Tebul_Ure	FINGER	nùmà:-íyɛ́	n u ¹ m aː ¹ + i ⁵ j ɛ ⁵	1173	n u ¹ m aː ¹ + ?- i ⁵ ?- j ɛ ⁵	4 7 8 4 7 8 9 7 8 6 7 8	AXTBYT_XTBYT	NY6MA6_I6JE6	16	16.N.C 16.Y.V 16.6.T 16.M.C 16.A.V 16.6.T 16._._ 16.I.V 16.6.T 16.J.C 16.E.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 3.0 1.0 1.3 3.0 1.0	0
1271	Yanda_Dom	FINGER	nùmà-é:	n u ¹ m a ¹ + eː ⁵	1173	n u ¹ m a ¹ + ?- eː ⁵ ?- ?- ?- ?-	4 7 8 4 7 8 9 7 8	AXTBYT_XT	NY6MA6_E6	22	22.N.C 22.Y.V 22.6.T 22.M.C 22.A.V 22.6.T 22._._ 22.E.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 3.0 1.0	0
1272	Najamba	FINGER	nùmà-sɛ́ndɔ̀:	n u ¹ m a ¹ + s ɛ ⁵ n d ɔː ¹	1173	n u ¹ m a ¹ + s ɛ ⁵ n d ɔː ¹	4 7 8 4 7 8 9 3 7 8 4 1 7 8	AXTBYT_AXTMBYT	NY6MA6_SE6NTU6	11	11.N.C 11.Y.V 11.6.T 11.M.C 11.A.V 11.6.T 11._._ 11.S.C 11.E.V 11.6.T 11.N.c 11.T.C 11.U.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1273	Bunoge	FINGER	nùmɛ́-sè	n u ¹ m ɛ ⁵ + s e ¹	1173	n u ¹ m ɛ ⁵ + s e ¹ ?- ?- ?- ?-	4 7 8 4 7 8 9 3 7 8	AXTBYT_AXT	NY6ME6_SE6	4	4.N.C 4.Y.V 4.6.T 4.M.C 4.E.V 4.6.T 4._._ 4.S.C 4.E.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0
1274	Jamsay	FINGER	nùmò-î:ⁿ	n u ¹ m o ¹ + ĩː ∼ ⁵¹	1173	n u ¹ ( - ) m o ¹ + ( - ) ĩː ⁵¹ ∼	4 7 8 4 7 8 9 7 4 8	AXTBYT_XLT	NY6MU6_I93	9	9.N.C 9.Y.V 9.6.T 9.M.C 9.U.V 9.6.T 9._._ 9.I.V 9.9.c 9.3.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 3.0 1.1 1.0	0
1275	Donno_So	FINGER	nùmɔ̀-sàý	n u ¹ m ɔ ¹ + s a ¹ j ⁵	1173	n u ¹ ( - ) m ɔ ¹ + s a ¹ j ( ?- ⁵ )	4 7 8 4 7 8 9 3 7 8 6 8	AXTBYT_AXTLT	NY6MU6_SA6J6	6	6.N.C 6.Y.V 6.6.T 6.M.C 6.U.V 6.6.T 6._._ 6.S.C 6.A.V 6.6.T 6.J.c 6.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.0	0
1276	Tomo_Kan	FINGER	nùmè-ʔí:ⁿ	n u ¹ m e ¹ + ʔ ĩː ∼ ⁵	1173	n u ¹ ( - ) m e ¹ + ( ?ʔ ) ĩː ⁵ ∼	4 7 8 4 7 8 9 1 7 4 8	AXTBYT_AXLT	NY6ME6_HI96	20	20.N.C 20.Y.V 20.6.T 20.M.C 20.E.V 20.6.T 20._._ 20.H.C 20.I.V 20.9.c 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0
1277	Tiranige_Diga	FINGER	nùmá-sèŋgé	n u ¹ m a ⁵ + s e ¹ ŋ ɡ e ⁵	1173	n u ¹ m a ⁵ + s e ¹ ŋ ɡ e ⁵	4 7 8 4 7 8 9 3 7 8 4 1 7 8	AXTBYT_AXTMBYT	NY6MA6_SE6NKE6	17	17.N.C 17.Y.V 17.6.T 17.M.C 17.A.V 17.6.T 17._._ 17.S.C 17.E.V 17.6.T 17.N.c 17.K.C 17.E.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1278	Mombo	FINGER	nɛ̀:-sí:	n ɛː ¹ + s iː ⁵	1173	n ɛː ¹ + s iː ⁵ ?-	4 7 8 9 3 7 8	AXT_AXT	NE6_SI6	10	10.N.C 10.E.V 10.6.T 10._._ 10.S.C 10.I.V 10.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0
1279	Penange	FINGER	nɛ̀:-sé	n ɛː ¹ + s e ⁵	1173	n ɛː ¹ + s e ⁵ ?-	4 7 8 9 3 7 8	AXT_AXT	NE6_SE6	13	13.N.C 13.E.V 13.6.T 13._._ 13.S.C 13.E.V 13.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0
1280	Bangime	FINGER	nìī-ŋ̄-kūwⁿɛ̀ɛ̀	n i ¹ i ³ + ŋ ³ + k u ³ w̃ ∼ ɛː ¹	2523	n i: ¹³ + ŋ ³ + k u ³ w̃ ∼ ɛː ¹	4 7 8 7 8 9 4 8 9 1 7 8 6 4 7 8	AXTYT_AT_AXTMBYT	NI6I6_N6_KY6W9E6	1	1.N.C 1.I.V 1.6.T 1.I.V 1.6.T 1._._ 1.N.C 1.6.T 1._._ 1.K.C 1.Y.V 1.6.T 1.W.c 1.9.C 1.E.V 1.6.T	1.6 3.0 1.0 3.0 1.0 0.0 1.6 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1281	Toro_Tegu	FIRE	núwⁿɔ́	n u ⁵ w̃ ∼ ɔ ⁵	2541	n u ⁵ w̃ ∼ ɔ ⁵	4 7 8 6 4 7 8	AXTMBYT	NY6W9U6	21	21.N.C 21.Y.V 21.6.T 21.W.c 21.9.C 21.U.V 21.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1282	Ben_Tey	FIRE	go᷈:	ɡ o ∼ ¹⁵¹	2537	ɡ o ¹⁵¹ ∼	1 7 4 8	AXLT	KU96	3	3.K.C 3.U.V 3.9.c 3.6.T	1.6 3.0 1.1 1.0	0
1283	Yorno_So	FIRE	yǎm	j a ¹⁵ m	1195	j a ¹⁵ m ?- ( - ) ?- ?- ( - )	6 7 8 4	AXTN	JA2M	23	23.J.C 23.A.V 23.2.T 23.M.c	1.6 3.0 1.0 0.5	0
1284	Tommo_So	FIRE	ɲǎm	ɲ a ¹⁵ m	1195	ɲ a ¹⁵ m ?- ( - ) ?- ?- ( - )	4 7 8 4	AXTN	NA2M	19	19.N.C 19.A.V 19.2.T 19.M.c	1.6 3.0 1.0 0.5	0
1285	Dogul_Dom	FIRE	gògó	ɡ o ¹ ɡ o ⁵	2537	ɡ o ¹ ɡ o ⁵	1 7 8 1 7 8	AXTBYT	KU6KU6	5	5.K.C 5.U.V 5.6.T 5.K.C 5.U.V 5.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1286	Tebul_Ure	FIRE	gǒ:	ɡ oː ¹⁵	2537	ɡ oː ¹⁵ ?-	1 7 8	AXT	KU2	16	16.K.C 16.U.V 16.2.T	1.6 3.0 1.0	0
1287	Yanda_Dom	FIRE	gòlò	ɡ o ¹ l o ¹	2537	ɡ o ¹ l o ¹	1 7 8 5 7 8	AXTBYT	KU6LU6	22	22.K.C 22.U.V 22.6.T 22.L.C 22.U.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1288	Najamba	FIRE	gólò	ɡ o ⁵ l o ¹	2537	ɡ o ⁵ l o ¹	1 7 8 5 7 8	AXTBYT	KU6LU6	11	11.K.C 11.U.V 11.6.T 11.L.C 11.U.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1289	Bunoge	FIRE	génì	ɡ e ⁵ n i ¹	2526	ɡ e ⁵ n i ¹	1 7 8 4 7 8	AXTBYT	KE6NI6	4	4.K.C 4.E.V 4.6.T 4.N.C 4.I.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1290	Donno_So	FIRE	ɲa᷈ŋ	ɲ a ¹⁵¹ ŋ	1195	ɲ a ¹⁵¹ ŋ ?- ?-	4 7 8 4	AXTN	NA6N	6	6.N.C 6.A.V 6.6.T 6.N.c	1.6 3.0 1.0 0.5	0
1291	Jamsay	FIRE	núwⁿó	n u ⁵ w̃ ∼ o ⁵	2541	n u ⁵ w̃ ∼ o ⁵	4 7 8 6 4 7 8	AXTMBYT	NY6W9U6	9	9.N.C 9.Y.V 9.6.T 9.W.c 9.9.C 9.U.V 9.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	1
1292	Tiranige_Diga	FIRE	jíyé	dʒ i ⁵ j e ⁵	8762	dʒ i ⁵ j e ⁵	1 7 8 6 7 8	AXTBYT	TI6JE6	17	17.T.C 17.I.V 17.6.T 17.J.C 17.E.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1293	Penange	FIRE	gènì	ɡ e ¹ n i ¹	2526	ɡ e ¹ n i ¹	1 7 8 4 7 8	AXTBYT	KE6NI6	13	13.K.C 13.E.V 13.6.T 13.N.C 13.I.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1294	Bangime	FIRE	bírɛ́	b i ⁵ r ɛ ⁵	84	b i ⁵ r ɛ ⁵	1 7 8 5 7 8	AXTBYT	PI6RE6	1	1.P.C 1.I.V 1.6.T 1.R.C 1.E.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1295	Bankan_Tey	FIRE	góô	ɡ o ⁵ o ⁵¹	2537	ɡ o: ⁵¹ ?-	1 7 8 7 8	AXTYT	KU6U3	2	2.K.C 2.U.V 2.6.T 2.U.V 2.3.T	1.6 3.0 1.0 3.0 1.0	0
1296	Mombo	FIRE	génì	ɡ e ⁵ n i ¹	2526	ɡ e ⁵ n i ¹	1 7 8 4 7 8	AXTBYT	KE6NI6	10	10.K.C 10.E.V 10.6.T 10.N.C 10.I.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1297	Nanga	FIRE	góô	ɡ o ⁵ o ⁵¹	2537	ɡ o: ⁵¹ ?-	1 7 8 7 8	AXTYT	KU6U3	12	12.K.C 12.U.V 12.6.T 12.U.V 12.3.T	1.6 3.0 1.0 3.0 1.0	0
1298	Togo_Kan	FIRE	ɲɛ́:	ɲ ɛː ⁵	1195	ɲ ɛː ⁵ ?- ?- ?-	4 7 8	AXT	NE6	18	18.N.C 18.E.V 18.6.T	1.6 3.0 1.0	0
1299	Perge_Tegu	FIRE	núwⁿó	n u ⁵ w̃ ∼ o ⁵	2541	n u ⁵ w̃ ∼ o ⁵	4 7 8 6 4 7 8	AXTMBYT	NY6W9U6	14	14.N.C 14.Y.V 14.6.T 14.W.c 14.9.C 14.U.V 14.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	1
1300	Tomo_Kan	FIRE	ɲá:	ɲ aː ⁵	1195	ɲ aː ⁵ ?- ?- ?-	4 7 8	AXT	NA6	20	20.N.C 20.A.V 20.6.T	1.6 3.0 1.0	0
1301	Toro_Tegu	FIREWOOD	tìrⁿú	t i ¹ r̃ ∼ u ⁵	86	t i ¹ r̃ ∼ u ⁵ ( - - - - )	1 7 8 5 4 7 8	AXTMBYT	TI6R9Y6	21	21.T.C 21.I.V 21.6.T 21.R.c 21.9.C 21.Y.V 21.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1302	Ben_Tey	FIREWOOD	tìrⁿú	t i ¹ r̃ ∼ u ⁵	86	t i ¹ r̃ ∼ u ⁵ ( - - - - )	1 7 8 5 4 7 8	AXTMBYT	TI6R9Y6	3	3.T.C 3.I.V 3.6.T 3.R.c 3.9.C 3.Y.V 3.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1303	Bankan_Tey	FIREWOOD	tǐn	t i ¹⁵ n	86	t i ¹⁵ n	1 7 8 4	AXTN	TI2N	2	2.T.C 2.I.V 2.2.T 2.N.c	1.6 3.0 1.0 0.5	0
1304	Nanga	FIREWOOD	tìrⁿí	t i ¹ r̃ ∼ i ⁵	86	t i ¹ r̃ ∼ i ⁵ ( - - - - )	1 7 8 5 4 7 8	AXTMBYT	TI6R9I6	12	12.T.C 12.I.V 12.6.T 12.R.c 12.9.C 12.I.V 12.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1305	Togo_Kan	FIREWOOD	tǐⁿ	t ĩ ∼ ¹⁵	86	t ĩ ¹⁵ ∼	1 7 4 8	AXLT	TI92	18	18.T.C 18.I.V 18.9.c 18.2.T	1.6 3.0 1.1 1.0	0
1306	Tommo_So	FIREWOOD	tínú	t i ⁵ n u ⁵	86	t i ⁵ ?- n u ⁵ ( - - - - )	1 7 8 4 7 8	AXTBYT	TI6NY6	19	19.T.C 19.I.V 19.6.T 19.N.C 19.Y.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1307	Dogul_Dom	FIREWOOD	tê:ⁿ	t eː ⁵¹ ∼	86	t eː ⁵¹ ∼	1 7 8 4	AXTN	TE39	5	5.T.C 5.E.V 5.3.T 5.9.c	1.6 3.0 1.0 0.5	0
1308	Tebul_Ure	FIREWOOD	tìně:	t i ¹ n eː ¹⁵	86	t i ¹ ?- n eː ¹⁵ ( - - - - )	1 7 8 4 7 8	AXTBYT	TI6NE2	16	16.T.C 16.I.V 16.6.T 16.N.C 16.E.V 16.2.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1309	Yanda_Dom	FIREWOOD	té:	t eː ⁵	86	t eː ⁵ ?-	1 7 8	AXT	TE6	22	22.T.C 22.E.V 22.6.T	1.6 3.0 1.0	0
