ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES
225	Bondu_So	IRON	i ⁵ n o ⁵ + ŋ ɡ o ⁵	iron ŋɡo-class-long
226	Bondu_So	LADDER	b i ⁵ + n ɡ o ⁵	tree ŋɡo-class-long
227	Tebul_Ure	LADDER	t i ⁵ n i ⁵ + ŋ ɡ o ⁵	tree ŋɡo-class-long
228	Bondu_So	MILLET	j o ⁵ + ŋ ɡ o ⁵	millet ŋɡo-class-round
229	Bondu_So	PUMPKIN	ɡ o ⁵ n e ⁵ + ŋ ɡ o ⁵	pumpkin ŋɡo-class-round
230	Bondu_So	SUN	u ¹ dʒ u ⁵ + ŋ ɡ o ⁵	sun ŋɡo-class-round
231	Ampari	PERSON	i ¹ n d a ¹ + r o ⁵	person ro-class-animate
232	Bankan_Tey	PERSON	i ¹ n d a ¹ + r o ⁵	person ro-class-animate
233	Toro_Tegu	CHILD	i ¹ + r̃ ∼ u ⁵	child ru-class-animate
234	Perge_Tegu	PERSON	i ⁵ n e ⁵ + r̃ ∼ u ⁵	person ru-class-animate
235	Bunoge	EYE	ɡ i ⁵ r e ⁵ + s e ¹	eye se-class-bodyparts
236	Yanda_Dom	PERSON	n u ¹ + r̃ ∼ u ⁵	person u-class-animate
237	Tomo_Kan	HORSE	s o ¹ + w̃ ∼	horse w-class-animate
